Товар(услуга),Цена,Местоположение
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Борисполь - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Кропивницкий, Подольский - 19 мая 2022 г."
Нуждаюсь в подгузниках для сына с инвалидностью,Бесплатно,"Киев, Подольский - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Житомир, Бумажная фабрика - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Одесса, Малиновский - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Одесса, Малиновский - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Ивано-Франковск - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Краматорск - 19 мая 2022 г.
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Мелитополь - 19 мая 2022 г.
Прийму вдар ваше авто,Бесплатно,Хмельницкий - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Полтава - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Черновцы - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Черкассы - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Львов, Галицкий - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Днепр, Центральный - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Луцк - 19 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,"Винница, Старогородской - 19 мая 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Каменское - 19 мая 2022 г.
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
"Чехол для каремата Бундесвер 27,5х37,5х4см(Сидушка, поджопник).",350 грн.,"Днепр, Шевченковский - 17 мая 2022 г."
Такси для вас и вашей семьи,70 грн.,Макеевка - 18 мая 2022 г.
"Помощь, подробности в описании!",,Бердянск - 18 мая 2022 г.
Помощь  с выездом за границу -  переезд - консультации эвакуация в ЕС!,5 318 грн.,"Киев, Подольский - 17 мая 2022 г."
Нужна квартира переселнам,6 000 грн.,"Киев, Дарницкий - 17 мая 2022 г."
Сниму квартиру или дом для семьи,15 000 грн.,"Днепр, Амур-Нижнеднепровский - 17 мая 2022 г."
Шльопанці UnderArmour,250 грн.,Черновцы - 16 мая 2022 г.
Оздоровление организма(аппаратный массаж),Бесплатно,"Киев, Шевченковский - 19 мая 2022 г."
Сниму квартиру в Днепре,12 000 грн.,"Днепр, Центральный - 17 мая 2022 г."
За символическую плату большой пакет одежды девочке-подростку,50 грн.,"Киев, Подольский - 19 мая 2022 г."
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
Грузоперевозки/грузчики,200 грн.,"Запорожье, Александровский - 19 мая 2022 г."
Могу достать лекарства под заказ,50 грн.,"Николаев, Заводский - 17 мая 2022 г."
Канада віза,1 000 грн.,Хуст - 18 мая 2022 г.
Эвакуация - автобус  Днепр   -  Львов/Польша/Румыния/Германия/Болгария,1 500 грн.,"Днепр, Центральный - 17 мая 2022 г."
Влажный корм для кошек в соусе KiteKate 85 г,12 грн.,Мелитополь - 16 мая 2022 г.
Велосипедки легінси бріджі,250 грн.,Черновцы - 17 мая 2022 г.
Патріотичні наклейки,35 грн.,Надворная - 18 мая 2022 г.
Сниму жилье 2-комнатную квартиру,Бесплатно,"Киев, Шевченковский - 19 мая 2022 г."
Авто документи в Польше,1 000 грн.,"Николаев, Центральный - 17 мая 2022 г."
Эвакуация - автобус Запорожье - Львов/Польша/Румыния/Германия/Болгария,1 500 грн.,"Запорожье, Шевченковский - 17 мая 2022 г."
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
Приймемо в дар швейну машинку,Бесплатно,Ирпень - 18 мая 2022 г.
Лексус Rx Викуп авто,327 950 грн.,Черновцы - 16 мая 2022 г.
Потрібні автомобілі!,Бесплатно,"Киев, Деснянский - 18 мая 2022 г."
Перегоню ваше Авто из Киева в Черновцы или к границе.,10 грн.,"Киев, Шевченковский - 17 мая 2022 г."
Консультации по содержанию и лечению аквариумных рыб.,1 грн.Договорная,"Харьков, Шевченковский - 17 мая 2022 г."
Ремонт квартир та будинків,100 грн.,"Киев, Оболонский - 18 мая 2022 г."
Туфли женские GLOSSI 2 пары даром,Бесплатно,"Киев, Дарницкий - 19 мая 2022 г."
Жіночий літній костюм,570 грн.,"Львов, Шевченковский - 16 мая 2022 г."
"Прошивка,удаление катализатора +бонусы",Бесплатно,"Днепр, Индустриальный - 18 мая 2022 г."
Перегоним ваше авто в безопасное место,600 грн.,"Запорожье, Александровский - 17 мая 2022 г."
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
Футболки Слава Україні!,450 грн.,"Львов, Галицкий - 17 мая 2022 г."
Продаю монети в тік тоці,10 грн.,"Киев, Дарницкий - 18 мая 2022 г."
Купляю ігри на аккаунті плейстейшн не дорого,15 грн.,"Киев, Днепровский - 18 мая 2022 г."
"Послуги упаковщика, фасувальний прилад",,Ивано-Франковск - 16 мая 2022 г.
Профілактична чистка зубів,1 000 грн.,"Киев, Голосеевский - 19 мая 2022 г."
Тонометр автоматический для измерения давления,480 грн.,"Львов, Галицкий - 17 мая 2022 г."
Скамейка Лофт (Лавочка).,4 500 грн.,"Днепр, Шевченковский - 19 мая 2022 г."
Управленческий учет вашего бизнеса,1 грн.,"Одесса, Малиновский - 17 мая 2022 г."
Шкільний пенал .,Бесплатно,Соколовка - 16 мая 2022 г.
Перевозка машин по Украине,Бесплатно,"Киев, Печерский - 18 мая 2022 г."
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
"Тушонка Німеченна ,паштет по400 грам 38грн є інші тов є група вайбері",56 грн.,Суховоля - 13 мая 2022 г.
Оренда квартири подобово ціна договірна,50 грн.Договорная,Трускавец - 13 мая 2022 г.
"Переезд, помощь с выездом за границу,  консультации, эвакуация в ЕС",4 431 грн.,"Киев, Подольский - 13 мая 2022 г."
"Квартиры, комнаты, ночлег, Беженцам и не только",150 грн.,"Кривой Рог, Долгинцевский - 15 мая 2022 г."
Прапор України з габардину,Бесплатно,Полтава - 14 мая 2022 г.
Безкоштовне навчання програмуванню для біженців,Бесплатно,"Киев, Деснянский - 12 мая 2022 г."
Ищем жильн для переселенцев. Любое,6 000 грн.,"Запорожье, Хортицкий - 14 мая 2022 г."
Готуємо і доставляємо обіди,80 грн.,"Львов, Железнодорожный - 15 мая 2022 г."
Потрібні волонтери,Бесплатно,Сумы - 15 мая 2022 г.
"Распродажа, сток!)",25 грн.,"Кривой Рог, Центрально-Городской - 14 мая 2022 г."
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
Перегон авто на западную,1 000 грн.,"Днепр, Соборный - 13 мая 2022 г."
В Благотворительный Фонд нужны Волантёры,Бесплатно,Сумы - 15 мая 2022 г.
Куплю малосемейку до 13 000 тыс долларов,384 063 грн.,"Днепр, Индустриальный - 14 мая 2022 г."
Foresto нашийник для собак 70см,800 грн.,Новояворовск - 13 мая 2022 г.
Потрiбен таргетолог/SMM спеціаліст - волонтер для Благодійного Фонду,Бесплатно,"Киев, Оболонский - 15 мая 2022 г."
"Охрана объектов, инкассация, физическая охрана.",Бесплатно,"Киев, Подольский - 12 мая 2022 г."
"Прапор України,атлас",170 грн.,"Днепр, Новокодакский - 15 мая 2022 г."
Надання послуг з охорони (в наявності ліцензія),1 грн.,"Киев, Печерский - 12 мая 2022 г."
Приму помощь в виде ткани для пошива гуманитарной помощи.,Бесплатно,"Днепр, Самарский - 14 мая 2022 г."
Репетитор з історії і громадянської освіти. Може пояснити все різні.,100 грн.,Гадяч - 14 мая 2022 г.
"Платно! Ищем квартиры, дома, жилые дачи",Бесплатно,"Запорожье, Днепровский - 09 июня 2022 г."
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
Перегон авто надёжно и качественно,777 грн.,"Днепр, Центральный - 13 мая 2022 г."
Активація Stepn,100 грн.,Ровно - 12 мая 2022 г.
Перегоним ваше авто на Западную Украину,999 грн.,"Запорожье, Вознесеновский - 13 мая 2022 г."
Штори короткі різні,300 грн.,Тернополь - 16 мая 2022 г.
выгул собак Новая Каховка,50 грн.,Новая Каховка - 14 мая 2022 г.
Куплю до 25000 авто на ходу,25 000 грн.,Маньковка - 13 мая 2022 г.
Шкарпетки носки шкарпетки,15 грн.,Черновцы - 14 мая 2022 г.
Футболка чоловіча 100% хлопок,200 грн.,Черновцы - 15 мая 2022 г.
прийму авто на зберігання,Бесплатно,Шпиков - 12 мая 2022 г.
Перевозки пассажиров,Бесплатно,"Харьков, Холодногорский - 14 мая 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
Роблю аватарки на ютуб,150 грн.,Петриков - 12 мая 2022 г.
Візьму ваш автомобіль на зберігання,10 000 грн.,Батево - 13 мая 2022 г.
базовий чорний топ (позмір-138) червоно-рожева майка з написами (138),40 грн.,Хмельницкий - 12 мая 2022 г.
Балаклава,150 грн.,Подгородное - 14 мая 2022 г.
"Грузчики , грузоперевезення.",150 грн.,"Житомир, Путятинка - 13 мая 2022 г."
Телеграм стікери не дорого,1 грн.,Хмельницкий - 14 мая 2022 г.
Гра horizone zero,350 грн.,Хмельницкий - 12 мая 2022 г.
Футболка чоловіча футболки,200 грн.,Черновцы - 15 мая 2022 г.
Выкуплю или присмотрю за вашим авто,Бесплатно,"Запорожье, Днепровский - 12 мая 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
"Мясо свинное,куриное. Куплю оптом",100 грн.,Мелитополь - 09 июня 2022 г.
"Шукаю квартиру в Ужгороді, нас 2 людини без тварин",15 000 грн.,Ужгород - 13 мая 2022 г.
Перегоню Ваше авто в ЕС или из ЕС в Украину,3 142 грн.,Минай - 11 мая 2022 г.
Орендую будинок срочно,60 000 грн.,Черновцы - 11 мая 2022 г.
"Бесплатная онлайн консультация, все врачи!",Бесплатно,Алексеевка - 12 мая 2022 г.
Ваше авто во временное пользование,10 грн.,"Запорожье, Коммунарский - 05 мая 2022 г."
Куплю промислову швейну машинку.,4 000 грн.,Луцк - 11 мая 2022 г.
Ищем квартиру в аренду,10 000 грн.Договорная,"Харьков, Индустриальный  - 12 мая 2022 г."
Ищу акаунт Уклон для такси. Chevrolet.,29 514 грн.,"Киев, Соломенский - 10 мая 2022 г."
Нужна любая работа .,Бесплатно,Новомосковск - 12 мая 2022 г.
Детские рюкзаки для мальчиков и девочек,250 грн.,"Киев, Печерский - 11 мая 2022 г."
Платимо і професійно видаляємо каталізатор +від нас Подарунки,Бесплатно,"Днепр, Центральный - 29 апреля 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
Професійна чистка зубів,1 000 грн.,"Киев, Голосеевский - 09 июня 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
Реставрация здания приюта для пожилых людей и инвалидов,Бесплатно,"Одесса, Малиновский - 12 мая 2022 г."
Орендуємо житло в Коломиї для сім'ї (2 дорослих і дитина).,6 000 грн.,Коломыя - 12 мая 2022 г.
Картопля насінева і столова,3.50 грн.,Тернополь - 11 мая 2022 г.
Mercedes-Benz Vito Extra Long,Бесплатно,"Киев, Дарницкий - 12 мая 2022 г."
Нужны картонные коробки,Бесплатно,"Одесса, Малиновский - 11 мая 2022 г."
"Поїздки за кордон на вашому авто, бусі, перегон авто в UA-EU",1 грн.,Тернополь - 12 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експер,Бесплатно,Сумы - 12 мая 2022 г.
Профессиональное удаление катализатора!EGR!Стейдж1!Прошивка евро 2!,Бесплатно,"Днепр, Центральный - 29 апреля 2022 г."
Автобусные перевозки по городу или по меж городу,1.40 грн.,Сумы - 30 апреля 2022 г.
Військова ОЦІНКА авто для ЗСУ експертиза пошкоджених автоэксперт,Бесплатно,Ивано-Франковск - 12 мая 2022 г.
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
Возьму в аренду СТО,222 грн.,"Харьков, Слободской - 26 мая 2022 г."
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Тернополь - 12 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Хмельницкий - 12 мая 2022 г.
Организация примет на сохранение компьютерную технику,Бесплатно,Бердичев - 11 мая 2022 г.
экспертиза автоэксперт ОЦІНКА авто для ЗСУ автоэкспертиза експерт,Бесплатно,Херсон - 12 мая 2022 г.
Військова ОЦІНКА авто для ЗСУ експертиза пошкоджених автоэксперт,Бесплатно,"Житомир, Вокзал - 12 мая 2022 г."
Евакуація Перегон Доставка Вашого автомобіля по Україні,Бесплатно,"Киев, Голосеевский - 12 мая 2022 г."
Жилет разгрузочный,1 300 грн.,Чернигов - 12 мая 2022 г.
